epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0418,1.77797,3.0364,1.80955,0.00619,0.683,0.07725,0.02835,2.01376,3.75605,2.2245,0.0900663,6.62518e-05,6.62518e-05
2,117.434,1.48317,2.62602,1.58298,0.00671,0.69721,0.09948,0.03273,1.98219,3.40329,2.16721,0.0791363,0.000136348,0.000136348
3,166.148,1.48215,2.37297,1.58495,0.01762,0.59079,0.11218,0.03558,2.25704,3.34964,2.24773,0.0682035,0.000203532,0.000203532
4,213.085,1.4371,2.21038,1.55877,0.72644,0.22054,0.21479,0.08602,2.34534,3.16524,2.28814,0.0572678,0.000267802,0.000267802
5,260.931,1.34085,2.02305,1.46407,0.61381,0.29979,0.29636,0.1439,1.84416,2.72773,1.87638,0.0463292,0.00032916,0.00032916
6,312.852,1.36168,1.98065,1.46927,0.40869,0.33788,0.29109,0.15121,1.78562,2.7068,1.8701,0.0353876,0.000387605,0.000387605
7,365.396,1.31763,1.87274,1.45158,0.39463,0.42159,0.41761,0.26457,1.36859,2.17925,1.51185,0.0244431,0.000443137,0.000443137
8,434.306,1.28057,1.80651,1.41622,0.53803,0.50601,0.5343,0.35131,1.2557,2.03592,1.355,0.0134958,0.000495756,0.000495756
9,505.895,1.27407,1.74995,1.41458,0.4663,0.56428,0.49163,0.31359,1.36678,2.08882,1.46125,0.00254546,0.000545462,0.000545462
10,578.108,1.22637,1.72068,1.39075,0.5673,0.55693,0.56688,0.36466,1.26668,1.78,1.38885,0.000543353,0.000543353,0.000543353
11,623.191,1.25143,1.7102,1.4034,0.51041,0.57259,0.58414,0.38321,1.10523,1.88716,1.28912,0.000530113,0.000530113,0.000530113
12,672.663,1.21539,1.63788,1.39064,0.7096,0.53723,0.64633,0.43604,1.15624,1.68878,1.25848,0.000516872,0.000516872,0.000516872
13,710.863,1.17071,1.57267,1.36271,0.65893,0.56039,0.63961,0.42294,1.23922,1.71107,1.38888,0.000503632,0.000503632,0.000503632
14,765.456,1.18948,1.54572,1.3599,0.68257,0.6442,0.69913,0.46248,1.15281,1.45794,1.31788,0.000490391,0.000490391,0.000490391
15,813.847,1.13009,1.4481,1.31734,0.82614,0.58639,0.75839,0.50449,1.12381,1.40058,1.24066,0.000477151,0.000477151,0.000477151
16,863.767,1.13314,1.44797,1.31763,0.7782,0.70165,0.7831,0.53923,1.13246,1.37389,1.23562,0.00046391,0.00046391,0.00046391
17,920.958,1.12284,1.41826,1.32021,0.64772,0.71478,0.74245,0.52294,1.08937,1.44954,1.20936,0.00045067,0.00045067,0.00045067
18,977.373,1.06559,1.36826,1.27777,0.82162,0.72199,0.80689,0.59131,1.03656,1.16482,1.17963,0.000437429,0.000437429,0.000437429
19,1025.93,1.11794,1.39314,1.3289,0.83129,0.74741,0.80924,0.62918,0.9234,1.12505,1.12606,0.000424189,0.000424189,0.000424189
20,1082.97,1.07052,1.38546,1.30049,0.87633,0.70385,0.8162,0.61871,0.93622,1.04273,1.12779,0.000410948,0.000410948,0.000410948
21,1142.07,1.00778,1.26016,1.243,0.72711,0.68645,0.74268,0.54095,1.05123,1.46281,1.24132,0.000397708,0.000397708,0.000397708
22,1190.91,1.06453,1.27864,1.27114,0.84143,0.64895,0.78135,0.57755,1.04191,1.42374,1.19501,0.000384467,0.000384467,0.000384467
23,1243.5,1.01418,1.23892,1.24429,0.8237,0.70481,0.81464,0.59886,0.99692,1.14023,1.17595,0.000371227,0.000371227,0.000371227
24,1297.14,0.97639,1.18268,1.226,0.85632,0.77898,0.87815,0.69344,0.83026,0.89436,1.06691,0.000357986,0.000357986,0.000357986
25,1351.93,1.02126,1.20098,1.25086,0.88776,0.82073,0.89268,0.68287,0.84612,0.92821,1.08711,0.000344746,0.000344746,0.000344746
26,1410.22,0.98554,1.17075,1.22804,0.84429,0.73464,0.85016,0.64866,0.89615,1.03275,1.09966,0.000331505,0.000331505,0.000331505
27,1458.94,0.94567,1.1058,1.19999,0.77585,0.79729,0.83828,0.65585,0.8942,1.07277,1.13525,0.000318265,0.000318265,0.000318265
28,1525.52,0.99724,1.1511,1.22516,0.86914,0.81621,0.87827,0.67722,0.89679,0.96726,1.08821,0.000305024,0.000305024,0.000305024
29,1597.23,0.93708,1.08417,1.19129,0.91108,0.79541,0.90095,0.70599,0.81424,0.89502,1.04504,0.000291784,0.000291784,0.000291784
30,1684.52,0.95738,1.0873,1.19546,0.96062,0.80615,0.93581,0.7314,0.81,0.76731,1.03476,0.000278543,0.000278543,0.000278543
31,1749.11,0.93539,1.1062,1.20441,0.88753,0.88473,0.92367,0.69707,0.89104,0.85051,1.05722,0.000265303,0.000265303,0.000265303
32,1805.59,0.92274,1.0711,1.18066,0.95255,0.8442,0.93572,0.76292,0.74449,0.71956,1.01225,0.000252062,0.000252062,0.000252062
33,1846.61,0.87411,1.01463,1.16219,0.96419,0.84178,0.95141,0.76709,0.77404,0.68278,1.00426,0.000238822,0.000238822,0.000238822
34,1897.47,0.92392,1.05819,1.19997,0.94722,0.87439,0.9511,0.7803,0.73574,0.66113,0.98033,0.000225581,0.000225581,0.000225581
35,1955.87,0.90237,1.02537,1.1794,0.98185,0.86787,0.94802,0.78553,0.7031,0.63671,0.96813,0.000212341,0.000212341,0.000212341
36,2013.76,0.93211,1.0246,1.18613,0.95968,0.88229,0.94736,0.78344,0.68612,0.62288,0.96568,0.0001991,0.0001991,0.0001991
37,2072.27,0.88322,0.98461,1.16179,0.94862,0.89097,0.9588,0.80432,0.64208,0.60846,0.9585,0.00018586,0.00018586,0.00018586
38,2132.97,0.85366,0.96997,1.15875,0.92065,0.92025,0.96468,0.78921,0.71089,0.59823,0.97693,0.00017262,0.00017262,0.00017262
39,2192.45,0.84874,0.93684,1.13681,0.98602,0.88049,0.97112,0.79298,0.70373,0.56212,0.9555,0.000159379,0.000159379,0.000159379
40,2281.22,0.85521,0.94207,1.13526,0.98836,0.91506,0.96786,0.81198,0.64103,0.54536,0.94197,0.000146139,0.000146139,0.000146139
41,2344.48,0.58148,0.73931,0.9742,0.90576,0.92635,0.96359,0.78734,0.72399,0.65449,0.97524,0.000132898,0.000132898,0.000132898
42,2397.06,0.56206,0.64935,0.95442,0.94251,0.8891,0.96772,0.78358,0.68079,0.73082,0.95818,0.000119658,0.000119658,0.000119658
43,2446.65,0.5545,0.58696,0.95244,0.98251,0.92201,0.96872,0.79915,0.668,0.59866,0.93997,0.000106417,0.000106417,0.000106417
44,2497.02,0.54021,0.56381,0.93429,0.96536,0.9053,0.96465,0.78043,0.71915,0.60482,0.95378,9.31766e-05,9.31766e-05,9.31766e-05
45,2551.25,0.5263,0.54374,0.94092,0.96911,0.89781,0.96562,0.80331,0.6648,0.57488,0.93111,7.99361e-05,7.99361e-05,7.99361e-05
46,2589.64,0.51201,0.52385,0.91754,0.94726,0.93648,0.97506,0.8261,0.60009,0.54788,0.91256,6.66956e-05,6.66956e-05,6.66956e-05
47,2628.08,0.49566,0.49989,0.90582,0.97081,0.93076,0.97605,0.8353,0.58553,0.51463,0.90569,5.34551e-05,5.34551e-05,5.34551e-05
48,2666.01,0.5146,0.51716,0.92998,0.98641,0.92947,0.97907,0.82438,0.61577,0.50435,0.9094,4.02146e-05,4.02146e-05,4.02146e-05
49,2703.55,0.514,0.50695,0.9322,0.98591,0.93747,0.9853,0.81992,0.62461,0.49982,0.9109,2.69741e-05,2.69741e-05,2.69741e-05
50,2742.91,0.48204,0.49271,0.91447,0.98425,0.93924,0.98452,0.82673,0.60859,0.48875,0.90496,1.37336e-05,1.37336e-05,1.37336e-05
