epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4287,1.6557,2.90185,1.70005,0.0063,0.68709,0.07602,0.02532,2.07143,3.72949,2.43256,0.0902741,0.000274091,0.000274091
2,98.0067,1.44902,2.43105,1.54464,0.04121,0.5066,0.15335,0.05336,2.20235,3.46658,2.3663,0.0795641,0.00056408,0.00056408
3,137.398,1.42411,2.22056,1.52644,0.24728,0.25354,0.21478,0.10215,1.65789,2.83681,1.87154,0.068842,0.000842009,0.000842009
4,181.701,1.43927,2.08065,1.52325,0.29312,0.26459,0.19175,0.07644,2.08374,2.79515,2.28544,0.0581079,0.00110788,0.00110788
5,221.376,1.5182,2.08878,1.58589,0.2279,0.39735,0.22589,0.09147,2.12086,2.65714,2.66967,0.0473617,0.00136169,0.00136169
6,268.009,1.42911,1.94673,1.5333,0.18764,0.2406,0.11643,0.04673,2.29669,3.00259,2.48291,0.0366034,0.00160344,0.00160344
7,314.469,1.42656,1.90079,1.54497,0.2918,0.41471,0.31812,0.15508,1.89075,2.37112,2.24085,0.0258331,0.00183314,0.00183314
8,355.728,1.37835,1.7787,1.45078,0.18039,0.29397,0.14613,0.04599,2.37216,2.904,2.65745,0.0150508,0.00205077,0.00205077
9,396.439,1.36663,1.75423,1.4456,0.21207,0.32201,0.15722,0.06543,1.93926,2.7632,2.28843,0.00425634,0.00225634,0.00225634
10,437.51,1.32742,1.66909,1.42434,0.09912,0.08963,0.06004,0.01812,2.55648,3.48983,3.23861,0.00224758,0.00224758,0.00224758
11,480.225,1.34464,1.66494,1.46354,0.49204,0.3021,0.34641,0.16065,1.81616,2.49794,1.9915,0.00219276,0.00219276,0.00219276
12,528.029,1.26692,1.61487,1.39841,0.18267,0.43764,0.20193,0.09086,2.1469,3.28543,2.22313,0.00213795,0.00213795,0.00213795
13,569.146,1.27071,1.59562,1.41046,0.36527,0.297,0.27367,0.13638,1.90901,2.66808,1.99616,0.00208313,0.00208313,0.00208313
14,610.052,1.27627,1.54789,1.40198,0.72289,0.27464,0.3052,0.1361,2.0183,3.25158,2.19484,0.00202832,0.00202832,0.00202832
15,653.34,1.27233,1.57051,1.41596,0.39244,0.33053,0.2437,0.09006,2.34855,3.49423,2.55538,0.0019735,0.0019735,0.0019735
16,695.216,1.19398,1.45332,1.35826,0.2794,0.33379,0.2272,0.091,2.3577,3.19177,2.44161,0.00191869,0.00191869,0.00191869
17,738.459,1.11763,1.37507,1.30371,0.32397,0.38247,0.26908,0.14443,1.64554,2.5712,1.74149,0.00186387,0.00186387,0.00186387
18,781.389,1.17122,1.42052,1.33652,0.43128,0.46677,0.45373,0.2657,1.44634,2.19444,1.62813,0.00180906,0.00180906,0.00180906
19,824.17,1.09615,1.32121,1.29904,0.7794,0.53084,0.62973,0.39303,1.29555,1.60897,1.40718,0.00175424,0.00175424,0.00175424
20,867.865,1.09402,1.24726,1.27436,0.48872,0.53683,0.51569,0.26276,1.89699,2.12867,1.81431,0.00169943,0.00169943,0.00169943
21,911.682,1.14133,1.32839,1.3293,0.59896,0.67499,0.66932,0.46279,1.10981,1.54099,1.30362,0.00164461,0.00164461,0.00164461
22,954.746,1.02458,1.17015,1.2309,0.49691,0.5576,0.53566,0.30656,1.33739,1.87425,1.49917,0.0015898,0.0015898,0.0015898
23,998.334,1.0159,1.16682,1.23545,0.702,0.62452,0.71307,0.48699,1.11077,1.35937,1.28939,0.00153498,0.00153498,0.00153498
24,1037.28,1.04318,1.16634,1.25121,0.57802,0.67277,0.63754,0.44762,1.09565,1.70133,1.2855,0.00148017,0.00148017,0.00148017
25,1079.22,0.98487,1.11683,1.21122,0.57004,0.54617,0.55647,0.38667,1.12966,1.7451,1.29598,0.00142535,0.00142535,0.00142535
26,1121.96,0.94137,1.06562,1.18143,0.65278,0.71831,0.74986,0.54609,0.94592,1.28582,1.14803,0.00137054,0.00137054,0.00137054
27,1164.68,0.94805,1.08301,1.1672,0.62023,0.62212,0.63989,0.45826,1.01747,1.57739,1.23049,0.00131572,0.00131572,0.00131572
28,1206.55,0.92414,1.0446,1.17806,0.57747,0.59199,0.63931,0.43744,1.13391,1.43968,1.37084,0.00126091,0.00126091,0.00126091
29,1246.33,0.90671,1.03365,1.17995,0.80626,0.69358,0.80432,0.61753,0.8071,0.96709,1.11887,0.00120609,0.00120609,0.00120609
30,1288.87,0.93186,1.05942,1.18202,0.60467,0.55225,0.57243,0.37825,1.26752,1.61357,1.42954,0.00115128,0.00115128,0.00115128
31,1331.4,0.8661,0.99237,1.13505,0.77712,0.80248,0.85853,0.63995,0.88637,0.87868,1.10907,0.00109646,0.00109646,0.00109646
32,1373.89,0.85263,0.93651,1.14451,0.65503,0.63314,0.6682,0.46754,1.06659,1.54169,1.2813,0.00104165,0.00104165,0.00104165
33,1415.27,0.843,0.93363,1.14791,0.91213,0.82693,0.90684,0.71337,0.80385,0.73834,1.03785,0.000986835,0.000986835,0.000986835
34,1456.98,0.86281,0.94933,1.14484,0.88989,0.80797,0.88932,0.70557,0.77842,0.78278,1.03327,0.00093202,0.00093202,0.00093202
35,1500.84,0.83286,0.89018,1.12193,0.77466,0.75284,0.85538,0.65643,0.80583,0.96918,1.07308,0.000877205,0.000877205,0.000877205
36,1543.4,0.85233,0.93423,1.13483,0.9078,0.81214,0.91469,0.75205,0.68117,0.82658,0.96948,0.00082239,0.00082239,0.00082239
37,1586.74,0.78762,0.83248,1.10535,0.88714,0.89876,0.94014,0.7802,0.67091,0.6686,0.96064,0.000767575,0.000767575,0.000767575
38,1630.56,0.80619,0.88967,1.12332,0.92986,0.80915,0.92173,0.78853,0.59292,0.65972,0.95668,0.000712761,0.000712761,0.000712761
39,1670.77,0.83654,0.8826,1.14099,0.92624,0.83852,0.92756,0.77474,0.68254,0.6912,1.00139,0.000657946,0.000657946,0.000657946
40,1711.94,0.79178,0.84302,1.1216,0.94548,0.91175,0.95815,0.80691,0.64328,0.55752,0.93836,0.000603131,0.000603131,0.000603131
41,1755.59,0.56199,0.60127,0.95399,0.90904,0.90942,0.96207,0.82962,0.5551,0.61043,0.91776,0.000548316,0.000548316,0.000548316
42,1795.97,0.53878,0.51532,0.94104,0.94515,0.9261,0.9603,0.80734,0.62344,0.52693,0.94823,0.000493501,0.000493501,0.000493501
43,1836.83,0.52621,0.48411,0.94228,0.95121,0.85556,0.95046,0.81986,0.61506,0.53614,0.96817,0.000438686,0.000438686,0.000438686
44,1878.62,0.50526,0.47191,0.91983,0.96486,0.92127,0.97271,0.85656,0.52273,0.45735,0.89356,0.000383872,0.000383872,0.000383872
45,1918.91,0.49066,0.45809,0.92893,0.93387,0.9272,0.96765,0.84748,0.50717,0.45871,0.8792,0.000329057,0.000329057,0.000329057
46,1960.95,0.48105,0.43017,0.91037,0.97542,0.92108,0.97647,0.87205,0.47051,0.42711,0.85713,0.000274242,0.000274242,0.000274242
47,2002.16,0.45857,0.41732,0.89435,0.96694,0.92462,0.98084,0.86789,0.48644,0.42173,0.8626,0.000219427,0.000219427,0.000219427
48,2043.57,0.46575,0.43095,0.90841,0.95087,0.9479,0.98088,0.86849,0.51621,0.42196,0.86833,0.000164612,0.000164612,0.000164612
49,2084.51,0.45659,0.40509,0.91132,0.96466,0.95036,0.98437,0.87866,0.48291,0.40611,0.86209,0.000109798,0.000109798,0.000109798
50,2125.79,0.43455,0.40379,0.89806,0.95205,0.97043,0.98653,0.88446,0.4643,0.38958,0.8599,5.49827e-05,5.49827e-05,5.49827e-05
