epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.96278,1.84554,2.77152,1.88882,0.42086,0.15841,0.08441,0.02814,2.21551,3.31371,3.0035,0.080281,0.00128101,0.00128101
2,17.3135,1.95735,2.6165,1.98892,0.00762,0.33728,0.00686,0.00183,3.19459,334.045,11.6208,0.0595706,0.00257061,0.00257061
3,25.6336,1.8969,2.54313,1.9637,0.02852,0.23824,0.00855,0.00218,3.45418,22.3427,8.38089,0.0388066,0.00380656,0.00380656
4,34.2194,1.95446,2.46216,1.96904,0.00873,0.22854,0.00674,0.00219,3.51787,91.5794,11.0803,0.0179889,0.00498888,0.00498888
5,42.4013,1.88582,2.4486,1.96233,0.00925,0.12402,0.00483,0.00116,3.04707,20.6894,4.98533,0.00561243,0.00561243,0.00561243
6,51.0227,1.85559,2.41599,1.93316,0.34843,0.06226,0.00695,0.00214,2.81905,6.35033,3.26585,0.00549052,0.00549052,0.00549052
7,59.2985,1.7851,2.33588,1.88553,0.02838,0.15097,0.014,0.0037,3.00402,4.72041,3.5388,0.00536861,0.00536861,0.00536861
8,67.4349,1.86515,2.38465,1.94887,0.17155,0.17453,0.11422,0.03502,2.73802,3.42319,3.50981,0.0052467,0.0052467,0.0052467
9,75.6863,1.76692,2.26065,1.84562,0.23706,0.1818,0.15252,0.04504,2.6492,4.16808,3.16101,0.00512479,0.00512479,0.00512479
10,84.1109,1.76965,2.22914,1.84223,0.16104,0.10966,0.07079,0.0218,3.11629,4.33604,3.75086,0.00500288,0.00500288,0.00500288
11,92.3696,1.72055,2.18418,1.80246,0.3681,0.415,0.31523,0.11452,2.12465,2.85807,2.0297,0.00488097,0.00488097,0.00488097
12,100.584,1.74794,2.1791,1.82442,0.21657,0.16646,0.12217,0.04385,2.56737,4.10517,2.53736,0.00475906,0.00475906,0.00475906
13,109.002,1.75523,2.17638,1.85063,0.20571,0.27029,0.13273,0.04925,2.14252,4.40778,2.12004,0.00463715,0.00463715,0.00463715
14,117.099,1.67618,2.09415,1.7753,0.32432,0.27711,0.23679,0.09385,2.12806,3.04561,1.971,0.00451523,0.00451523,0.00451523
15,125.591,1.66343,2.10673,1.77677,0.37308,0.48836,0.40134,0.14316,2.23577,3.24602,2.01164,0.00439332,0.00439332,0.00439332
16,133.901,1.63402,2.01255,1.73091,0.38443,0.38348,0.34078,0.12299,2.28566,2.56634,2.29148,0.00427141,0.00427141,0.00427141
17,142.146,1.67145,2.05577,1.75561,0.39642,0.35164,0.33193,0.14407,1.98647,2.54008,1.88089,0.0041495,0.0041495,0.0041495
18,150.386,1.62659,1.99305,1.72175,0.09929,0.24808,0.09343,0.03328,2.40779,3.4203,2.61627,0.00402759,0.00402759,0.00402759
19,158.452,1.63241,1.98931,1.71501,0.42087,0.31354,0.29897,0.13779,2.10434,2.60712,2.00979,0.00390568,0.00390568,0.00390568
20,166.743,1.5784,1.92727,1.69194,0.56267,0.49018,0.50619,0.24991,1.89833,1.82834,1.7475,0.00378377,0.00378377,0.00378377
21,175.073,1.54064,1.84881,1.66333,0.62756,0.49167,0.53438,0.23306,1.93773,2.02133,1.84323,0.00366186,0.00366186,0.00366186
22,183.602,1.58299,1.87781,1.70038,0.56331,0.55774,0.56189,0.24244,2.09804,1.73692,1.90486,0.00353995,0.00353995,0.00353995
23,192.067,1.58993,1.88229,1.69744,0.66424,0.52582,0.55693,0.27764,1.84106,1.67493,1.73615,0.00341804,0.00341804,0.00341804
24,200.327,1.57681,1.87246,1.67926,0.5401,0.57478,0.54838,0.24077,1.91931,1.79165,1.75441,0.00329613,0.00329613,0.00329613
25,208.673,1.5809,1.87824,1.67529,0.63771,0.53297,0.57299,0.25943,1.8851,1.84614,1.75999,0.00317422,0.00317422,0.00317422
26,217.039,1.51315,1.79761,1.62203,0.5688,0.45011,0.46582,0.22763,1.65806,1.9849,1.60784,0.00305231,0.00305231,0.00305231
27,225.311,1.51663,1.76063,1.60403,0.55009,0.44751,0.48512,0.22662,1.93281,1.92,1.84977,0.0029304,0.0029304,0.0029304
28,234.006,1.50714,1.73113,1.62438,0.50512,0.43932,0.4293,0.21814,1.66534,2.07759,1.618,0.00280849,0.00280849,0.00280849
29,242.371,1.51175,1.7547,1.63113,0.52127,0.60413,0.6001,0.33603,1.61069,1.70146,1.54571,0.00268658,0.00268658,0.00268658
30,250.802,1.45949,1.7464,1.58694,0.57922,0.48807,0.51056,0.29006,1.5005,1.94275,1.50479,0.00256467,0.00256467,0.00256467
31,259.195,1.43573,1.64382,1.56637,0.67803,0.52734,0.58559,0.28832,1.62633,1.68251,1.5874,0.00244276,0.00244276,0.00244276
32,267.505,1.43037,1.63459,1.57397,0.73319,0.58071,0.66883,0.36886,1.70208,1.51647,1.56851,0.00232085,0.00232085,0.00232085
33,275.647,1.4785,1.7037,1.61177,0.55862,0.52095,0.53075,0.29409,1.51313,2.16975,1.5258,0.00219894,0.00219894,0.00219894
34,284.142,1.45138,1.64021,1.57686,0.67432,0.65476,0.69229,0.40733,1.55337,1.47227,1.4824,0.00207703,0.00207703,0.00207703
35,292.305,1.39541,1.55969,1.53589,0.64371,0.60443,0.63708,0.35345,1.49267,1.52387,1.47793,0.00195512,0.00195512,0.00195512
36,300.724,1.41184,1.63711,1.56137,0.76945,0.56307,0.68098,0.40263,1.57769,1.38275,1.48165,0.0018332,0.0018332,0.0018332
37,308.973,1.41032,1.58856,1.5419,0.7935,0.59139,0.70452,0.40454,1.61621,1.3133,1.51255,0.00171129,0.00171129,0.00171129
