epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7206,1.75708,2.97229,1.91837,0.00517,0.55968,0.1111,0.03469,2.81566,3.82526,2.96135,0.0901152,0.000115218,0.000115218
2,94.2727,1.56727,2.54826,1.78655,0.00612,0.58713,0.11607,0.03086,2.46181,3.58444,2.71917,0.0792371,0.000237118,0.000237118
3,132.38,1.54211,2.2307,1.72115,0.25837,0.3996,0.15143,0.04283,2.4628,3.59949,2.47753,0.0683539,0.000353949,0.000353949
4,170.175,1.55312,2.12997,1.72138,0.26481,0.29746,0.27303,0.11789,2.06012,2.80809,1.99945,0.0574657,0.00046571,0.00046571
5,208.94,1.4903,2.00872,1.65939,0.44628,0.37707,0.34197,0.15994,1.77522,2.53611,1.83269,0.0465724,0.000572402,0.000572402
6,246.599,1.43199,1.93802,1.63899,0.40095,0.34757,0.34677,0.17644,1.84424,2.40409,1.8177,0.035674,0.000674025,0.000674025
7,286.872,1.45583,1.88646,1.62528,0.32849,0.30334,0.31397,0.13699,1.92713,2.47182,1.99414,0.0247706,0.000770578,0.000770578
8,325.909,1.44002,1.87572,1.62401,0.38388,0.35256,0.37167,0.17379,1.84685,2.398,1.872,0.0138621,0.000862062,0.000862062
9,371.979,1.42459,1.77398,1.61015,0.41619,0.45979,0.43315,0.23781,1.68244,2.37664,1.69777,0.00294848,0.000948476,0.000948476
10,411.153,1.4058,1.71344,1.5887,0.50085,0.48703,0.501,0.19797,2.13536,2.0829,2.07983,0.000944789,0.000944789,0.000944789
11,448.846,1.39362,1.66264,1.57307,0.48491,0.52644,0.50432,0.2435,1.79074,2.13009,1.79493,0.000921746,0.000921746,0.000921746
12,503.565,1.40315,1.67813,1.56768,0.39608,0.42968,0.42036,0.21563,1.78702,2.26673,1.7842,0.000898703,0.000898703,0.000898703
13,555.153,1.40221,1.6098,1.57989,0.52759,0.35474,0.36781,0.17346,1.87467,2.37521,1.85983,0.00087566,0.00087566,0.00087566
14,592.549,1.35332,1.51416,1.53586,0.67862,0.52884,0.55651,0.27454,1.89615,2.01048,1.79716,0.000852617,0.000852617,0.000852617
15,639.075,1.30904,1.48458,1.49759,0.55505,0.563,0.50771,0.25484,1.76491,2.09893,1.65206,0.000829574,0.000829574,0.000829574
16,696.045,1.30636,1.44982,1.4918,0.69653,0.58434,0.64961,0.33505,1.71916,1.6015,1.59348,0.000806531,0.000806531,0.000806531
17,740.625,1.25541,1.37821,1.459,0.7686,0.56635,0.6934,0.36732,1.76914,1.49943,1.64777,0.000783488,0.000783488,0.000783488
18,788.174,1.24683,1.35953,1.47104,0.66996,0.55018,0.61992,0.35781,1.60755,1.7145,1.58049,0.000760445,0.000760445,0.000760445
19,837.326,1.23592,1.32105,1.44689,0.75183,0.62423,0.70685,0.42498,1.33848,1.67117,1.43659,0.000737402,0.000737402,0.000737402
20,879.104,1.26525,1.34955,1.48243,0.59268,0.54511,0.56813,0.31325,1.58274,1.80306,1.5395,0.00071436,0.00071436,0.00071436
21,929.032,1.19567,1.23322,1.41435,0.72685,0.58538,0.66775,0.38066,1.56366,1.58643,1.49088,0.000691317,0.000691317,0.000691317
22,979.366,1.15825,1.22401,1.38899,0.81407,0.6468,0.77815,0.5101,1.24047,1.25815,1.31082,0.000668274,0.000668274,0.000668274
23,1019.33,1.12693,1.14774,1.36832,0.76251,0.71786,0.77585,0.45616,1.52178,1.37787,1.51053,0.000645231,0.000645231,0.000645231
24,1067.82,1.15448,1.16431,1.37549,0.79552,0.74127,0.77768,0.49649,1.32299,1.18222,1.31905,0.000622188,0.000622188,0.000622188
25,1116.03,1.10593,1.12272,1.34008,0.79795,0.69968,0.78275,0.5236,1.18087,1.17613,1.24836,0.000599145,0.000599145,0.000599145
26,1154.43,1.11048,1.1064,1.34522,0.79102,0.71291,0.81431,0.51674,1.24547,1.12991,1.27896,0.000576102,0.000576102,0.000576102
27,1205.11,1.09971,1.08892,1.35032,0.92258,0.78093,0.86413,0.51015,1.46261,1.09291,1.38159,0.000553059,0.000553059,0.000553059
28,1251.25,1.07668,1.0744,1.33557,0.86643,0.71175,0.82423,0.55687,1.19537,1.20563,1.28368,0.000530016,0.000530016,0.000530016
29,1296.87,1.05275,1.03058,1.30582,0.79995,0.69508,0.77231,0.52034,1.24947,1.24373,1.31362,0.000506973,0.000506973,0.000506973
30,1356.3,1.07553,1.0353,1.32365,0.89602,0.7715,0.87809,0.62474,1.07533,0.99558,1.19151,0.00048393,0.00048393,0.00048393
31,1414.29,1.06179,1.03513,1.30986,0.93915,0.75804,0.87863,0.57666,1.2636,0.93944,1.24862,0.000460887,0.000460887,0.000460887
32,1460.55,0.98074,0.96463,1.25967,0.87131,0.8581,0.89442,0.58236,1.28001,0.8882,1.25609,0.000437844,0.000437844,0.000437844
33,1511.89,1.01506,0.96459,1.27481,0.93745,0.82701,0.90622,0.63763,1.13188,0.8953,1.19959,0.000414801,0.000414801,0.000414801
34,1561.3,0.96293,0.94571,1.24811,0.90544,0.881,0.92713,0.68031,0.96439,0.75055,1.0937,0.000391758,0.000391758,0.000391758
35,1606.94,1.02213,0.95963,1.27762,0.84389,0.87318,0.91285,0.63621,1.11591,0.85215,1.1666,0.000368715,0.000368715,0.000368715
36,1653.94,0.9848,0.93677,1.27048,0.83039,0.8082,0.8929,0.65013,1.01347,0.84389,1.13298,0.000345672,0.000345672,0.000345672
37,1706.51,0.9533,0.89822,1.24183,0.89697,0.82476,0.90874,0.64368,1.07744,0.79319,1.12479,0.000322629,0.000322629,0.000322629
38,1756.3,0.95397,0.91547,1.24592,0.82977,0.88847,0.93439,0.67977,1.01821,0.84909,1.09417,0.000299586,0.000299586,0.000299586
39,1802.41,0.97561,0.92707,1.25586,0.89727,0.83379,0.92512,0.70322,0.94085,0.78866,1.08841,0.000276543,0.000276543,0.000276543
40,1849.76,0.95793,0.9125,1.24209,0.8704,0.86518,0.92387,0.67935,1.00305,0.76084,1.08834,0.0002535,0.0002535,0.0002535
41,1883.33,0.71177,0.63934,1.07372,0.8974,0.83134,0.91663,0.6947,0.93248,0.7971,1.0556,0.000230457,0.000230457,0.000230457
42,1927.06,0.67828,0.58853,1.06194,0.97259,0.86877,0.9522,0.72162,0.89159,0.69196,1.03102,0.000207414,0.000207414,0.000207414
43,1972.42,0.64372,0.53708,1.05711,0.96523,0.86451,0.95297,0.70483,0.93803,0.67297,1.0604,0.000184371,0.000184371,0.000184371
44,2038.75,0.64774,0.53673,1.03524,0.96394,0.89074,0.95561,0.72454,0.923,0.65109,1.05119,0.000161328,0.000161328,0.000161328
45,2086.11,0.63597,0.52132,1.03185,0.94858,0.87771,0.94979,0.69929,0.99694,0.66861,1.07859,0.000138285,0.000138285,0.000138285
