epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7532,1.59096,2.65041,1.7191,0.26007,0.44615,0.29518,0.15564,1.5656,2.14572,1.56987,0.066901,3.8249e-05,3.8249e-05
2,21.9546,1.39774,2.11584,1.52864,0.40726,0.56392,0.52366,0.31705,1.305,1.63836,1.337,0.0336056,7.62164e-05,7.62164e-05
3,32.1158,1.32169,1.87971,1.46847,0.59906,0.61674,0.63564,0.36891,1.30612,1.42967,1.31544,0.000309753,0.000113674,0.000113674
4,42.4645,1.24488,1.71576,1.40056,0.69767,0.7038,0.73102,0.44661,1.3118,1.21225,1.28756,0.000113133,0.000113133,0.000113133
5,52.6352,1.2055,1.61033,1.36632,0.74906,0.75502,0.7941,0.51702,1.20733,1.08634,1.21783,0.000112369,0.000112369,0.000112369
6,62.811,1.11598,1.4677,1.31067,0.82793,0.79214,0.86249,0.59588,1.07719,0.91085,1.14844,0.000111605,0.000111605,0.000111605
7,73.3527,1.11818,1.38275,1.30613,0.87766,0.78595,0.89036,0.61313,1.07628,0.87776,1.13337,0.000110841,0.000110841,0.000110841
8,83.658,1.07218,1.31344,1.27407,0.88353,0.84688,0.90719,0.62026,1.08726,0.81804,1.14552,0.000110076,0.000110076,0.000110076
9,94.1254,1.04815,1.24413,1.25205,0.86342,0.90077,0.92747,0.6527,1.02065,0.77251,1.11521,0.000109312,0.000109312,0.000109312
10,104.575,1.01844,1.16698,1.23645,0.92172,0.9015,0.94774,0.69817,0.93931,0.70269,1.05708,0.000108548,0.000108548,0.000108548
11,114.857,0.99278,1.13245,1.22692,0.91955,0.88973,0.94127,0.6702,0.98764,0.70566,1.06952,0.000107784,0.000107784,0.000107784
12,125.255,0.99151,1.0925,1.22042,0.93421,0.91842,0.95291,0.69781,0.90771,0.65721,1.03894,0.00010702,0.00010702,0.00010702
13,135.423,0.99515,1.07567,1.22126,0.93952,0.91566,0.95949,0.69127,0.99488,0.64543,1.09281,0.000106255,0.000106255,0.000106255
14,145.535,0.94931,1.03226,1.19555,0.92849,0.94459,0.96317,0.69289,0.98124,0.6152,1.05724,0.000105491,0.000105491,0.000105491
15,155.63,0.92257,0.97785,1.17331,0.93794,0.92312,0.95189,0.73229,0.78562,0.5931,1.00118,0.000104727,0.000104727,0.000104727
16,165.764,0.91917,0.97476,1.1662,0.96585,0.92632,0.97272,0.72953,0.86363,0.56845,1.02266,0.000103963,0.000103963,0.000103963
17,175.903,0.9229,0.96965,1.17587,0.93377,0.95339,0.96576,0.74079,0.83909,0.55757,1.00294,0.000103198,0.000103198,0.000103198
18,185.999,0.89267,0.93022,1.14849,0.94226,0.93007,0.9649,0.75224,0.76368,0.55026,0.98789,0.000102434,0.000102434,0.000102434
19,196.241,0.88411,0.91596,1.15381,0.96749,0.95054,0.97542,0.74376,0.87904,0.54486,1.0324,0.00010167,0.00010167,0.00010167
20,206.44,0.87363,0.90553,1.14554,0.94868,0.95021,0.97723,0.76225,0.80663,0.53502,0.99168,0.000100906,0.000100906,0.000100906
21,216.821,0.85706,0.87263,1.13491,0.95888,0.93946,0.97095,0.75093,0.7962,0.53045,0.98126,0.000100142,0.000100142,0.000100142
