epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.341,1.73801,2.98463,1.80171,0.00637,0.7036,0.12005,0.0422,2.06229,3.80371,2.11896,0.0900104,1.03607e-05,1.03607e-05
2,94.3454,1.55022,2.63112,1.62431,0.00838,0.72448,0.07183,0.02036,2.56356,3.50058,2.89252,0.0790213,2.13223e-05,2.13223e-05
3,136.433,1.52086,2.47042,1.59021,0.00743,0.65527,0.07544,0.02068,2.58642,3.59596,3.11046,0.0680318,3.18281e-05,3.18281e-05
4,176,1.48376,2.35389,1.57944,0.00648,0.57764,0.07383,0.01843,2.42326,3.65077,2.7917,0.0570419,4.1878e-05,4.1878e-05
5,213.17,1.40443,2.2296,1.51785,0.08048,0.42713,0.12457,0.04341,2.05638,3.31526,2.29226,0.0460515,5.1472e-05,5.1472e-05
6,248.488,1.41671,2.1779,1.53183,0.61204,0.16349,0.22814,0.09041,1.92445,2.96067,1.98799,0.0350606,6.06102e-05,6.06102e-05
7,287.753,1.39961,2.12102,1.52581,0.64888,0.29651,0.33117,0.17767,1.61448,2.58194,1.64569,0.0240693,6.92926e-05,6.92926e-05
8,323.403,1.38108,2.03782,1.49606,0.6564,0.35044,0.35932,0.1917,1.5993,2.39028,1.56242,0.0130775,7.75191e-05,7.75191e-05
9,358.628,1.36117,2.01202,1.47557,0.30702,0.37737,0.39231,0.2193,1.4665,2.26762,1.47977,0.00208529,8.52897e-05,8.52897e-05
10,399.034,1.35217,1.9721,1.47856,0.80608,0.38857,0.49958,0.29447,1.43901,2.03262,1.42109,8.49582e-05,8.49582e-05,8.49582e-05
11,438.655,1.29779,1.89417,1.44617,0.46552,0.51041,0.52417,0.31903,1.45561,1.95658,1.39819,8.28862e-05,8.28862e-05,8.28862e-05
12,488.38,1.28876,1.8612,1.41611,0.46709,0.49559,0.52763,0.34983,1.23531,1.84081,1.30331,8.08141e-05,8.08141e-05,8.08141e-05
13,537.594,1.29639,1.8519,1.4326,0.51191,0.46933,0.52196,0.33556,1.2354,1.84808,1.28904,7.8742e-05,7.8742e-05,7.8742e-05
14,591.648,1.25461,1.80276,1.41713,0.53094,0.52368,0.56553,0.34494,1.27838,1.81064,1.30389,7.667e-05,7.667e-05,7.667e-05
15,642.363,1.26024,1.7784,1.41778,0.573,0.51995,0.58974,0.36605,1.24023,1.71996,1.26866,7.45979e-05,7.45979e-05,7.45979e-05
16,697.359,1.21904,1.73715,1.38909,0.62018,0.48614,0.58419,0.36255,1.17811,1.73828,1.24885,7.25258e-05,7.25258e-05,7.25258e-05
17,751.568,1.15647,1.65271,1.34873,0.73683,0.48409,0.65535,0.42105,1.18842,1.59081,1.2451,7.04537e-05,7.04537e-05,7.04537e-05
18,808.566,1.20106,1.63025,1.36054,0.75501,0.51926,0.66355,0.41585,1.21756,1.64415,1.25898,6.83817e-05,6.83817e-05,6.83817e-05
19,856.074,1.21259,1.65906,1.39255,0.64043,0.58765,0.67223,0.42054,1.25359,1.53625,1.26157,6.63096e-05,6.63096e-05,6.63096e-05
20,903.536,1.18927,1.60235,1.34864,0.65898,0.61718,0.67221,0.43589,1.2443,1.45501,1.24469,6.42375e-05,6.42375e-05,6.42375e-05
21,948.09,1.18393,1.56273,1.34278,0.7315,0.63651,0.71713,0.48512,1.18806,1.36445,1.21783,6.21655e-05,6.21655e-05,6.21655e-05
22,990.333,1.21062,1.60023,1.3762,0.68567,0.65427,0.73218,0.4906,1.20928,1.3388,1.22151,6.00934e-05,6.00934e-05,6.00934e-05
23,1036.6,1.17612,1.54949,1.34039,0.71819,0.61985,0.69747,0.47281,1.18475,1.37925,1.20266,5.80213e-05,5.80213e-05,5.80213e-05
24,1081.08,1.16802,1.52777,1.35527,0.74215,0.64854,0.7168,0.49004,1.15789,1.30014,1.18197,5.59493e-05,5.59493e-05,5.59493e-05
25,1126.17,1.18055,1.55788,1.36228,0.75819,0.64915,0.72807,0.49906,1.15698,1.28607,1.17811,5.38772e-05,5.38772e-05,5.38772e-05
26,1172.6,1.11959,1.44785,1.30154,0.71976,0.69104,0.76032,0.51711,1.16279,1.28326,1.17873,5.18051e-05,5.18051e-05,5.18051e-05
27,1217.56,1.12281,1.49679,1.3221,0.7292,0.70639,0.76941,0.53028,1.14876,1.23073,1.17429,4.9733e-05,4.9733e-05,4.9733e-05
28,1255.68,1.10448,1.45061,1.29883,0.82057,0.66709,0.79518,0.55471,1.13836,1.16077,1.1738,4.7661e-05,4.7661e-05,4.7661e-05
29,1297.03,1.13415,1.45914,1.31359,0.84226,0.69861,0.81652,0.57442,1.10384,1.12062,1.17043,4.55889e-05,4.55889e-05,4.55889e-05
30,1337.93,1.11053,1.40607,1.29503,0.78424,0.69947,0.78316,0.56586,1.02021,1.19428,1.13883,4.35168e-05,4.35168e-05,4.35168e-05
31,1375.4,1.15251,1.45523,1.33288,0.78051,0.69053,0.77382,0.55224,1.04206,1.24617,1.1454,4.14448e-05,4.14448e-05,4.14448e-05
32,1415.56,1.09078,1.4038,1.29788,0.81107,0.7194,0.80691,0.5801,1.03414,1.16535,1.1388,3.93727e-05,3.93727e-05,3.93727e-05
33,1490.91,1.11478,1.4022,1.31101,0.76429,0.75375,0.81597,0.58433,1.10276,1.1221,1.15896,3.73006e-05,3.73006e-05,3.73006e-05
34,1532.82,1.10899,1.37294,1.30168,0.79088,0.74508,0.81054,0.5815,1.08558,1.1033,1.14425,3.52286e-05,3.52286e-05,3.52286e-05
35,1572.92,1.09985,1.37369,1.28286,0.81511,0.74368,0.82719,0.58905,1.07565,1.04146,1.13613,3.31565e-05,3.31565e-05,3.31565e-05
36,1610.41,1.07416,1.34442,1.27957,0.88806,0.72694,0.8332,0.60487,1.05159,1.03191,1.14296,3.10844e-05,3.10844e-05,3.10844e-05
37,1699.59,1.08088,1.34952,1.28816,0.89616,0.72996,0.83934,0.6112,1.03195,1.03636,1.13311,2.90123e-05,2.90123e-05,2.90123e-05
38,1748.08,1.0889,1.35927,1.30869,0.81282,0.7557,0.83577,0.59021,1.08576,1.08406,1.13987,2.69403e-05,2.69403e-05,2.69403e-05
39,1797.49,1.04854,1.29676,1.24733,0.79984,0.77626,0.84352,0.59722,1.05601,1.08151,1.11775,2.48682e-05,2.48682e-05,2.48682e-05
40,1837.15,1.04858,1.30427,1.27499,0.83179,0.75915,0.8517,0.61472,1.03253,1.04327,1.10405,2.27961e-05,2.27961e-05,2.27961e-05
41,1878.41,0.80305,1.27543,1.11085,0.86696,0.78691,0.85966,0.60852,1.11107,1.05151,1.14669,2.07241e-05,2.07241e-05,2.07241e-05
