epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.47444,2.00805,2.82491,2.04808,0.00372,0.35958,0.00283,0.0009,3.29665,inf,16.6623,0.070668,0.00324371,0.00324371
2,8.53797,1.9108,2.4617,1.98372,5e-05,0.0137,3e-05,1e-05,3.65655,inf,9.04064,0.0406101,0.00651917,0.00651917
3,12.3555,1.87421,2.36082,1.93701,0.00386,0.16915,0.00312,0.0011,3.64192,21.9423,4.93069,0.010508,0.00975045,0.00975045
4,16.1078,1.80245,2.24788,1.88201,0.09606,0.07555,0.02633,0.00721,3.26872,4.40848,3.99491,0.0097586,0.0097586,0.0097586
5,19.8503,1.75025,2.14653,1.81262,0.17916,0.21246,0.10692,0.03848,2.51569,3.14731,2.59239,0.00969233,0.00969233,0.00969233
6,23.5664,1.73073,2.09719,1.81428,0.46259,0.34271,0.35964,0.13621,2.25036,2.28982,2.38681,0.00962605,0.00962605,0.00962605
7,27.3052,1.68416,2.01252,1.75997,0.02236,0.09695,0.02273,0.00464,2.64174,4.44398,3.09437,0.00955978,0.00955978,0.00955978
8,31.0267,1.65867,1.97587,1.75111,0.3511,0.38235,0.28066,0.10939,2.1302,2.6896,2.10925,0.0094935,0.0094935,0.0094935
9,34.7574,1.62495,1.90431,1.71072,0.22399,0.24943,0.15257,0.04427,2.6118,2.74513,2.78139,0.00942722,0.00942722,0.00942722
10,38.4717,1.63157,1.87257,1.72254,0.36078,0.31259,0.28597,0.10999,2.26959,2.42991,2.29171,0.00936095,0.00936095,0.00936095
11,42.2077,1.5921,1.87421,1.68122,0.26147,0.17513,0.14001,0.06022,2.32036,3.09534,2.56249,0.00929467,0.00929467,0.00929467
12,45.937,1.59343,1.85297,1.68759,0.42915,0.42628,0.38018,0.14473,2.25601,1.93122,2.33026,0.0092284,0.0092284,0.0092284
