epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.6637,1.68204,2.8884,1.68105,0.0063,0.72427,0.04627,0.01633,2.22702,3.40614,2.36057,0.0903671,0.000367065,0.000367065
2,93.3453,1.49248,2.36592,1.54784,0.24269,0.11471,0.1286,0.05818,1.7196,2.91887,2.10076,0.0797554,0.00075542,0.00075542
3,136.05,1.54399,2.18982,1.55598,0.08915,0.19792,0.05962,0.01629,2.526,3.7191,4.24668,0.0691276,0.00112762,0.00112762
4,178.172,1.57239,2.17293,1.59514,0.40776,0.14254,0.0563,0.01592,2.32444,3.37309,3.25144,0.0584837,0.00148368,0.00148368
5,219.214,1.57025,2.13994,1.62562,0.06547,0.12392,0.05475,0.0161,2.42793,3.81495,3.51421,0.0478236,0.00182358,0.00182358
6,271.911,1.49996,2.03257,1.55691,0.14787,0.40042,0.17096,0.05733,2.19052,4.41731,3.01142,0.0371473,0.00214733,0.00214733
7,332.976,1.4538,1.91585,1.51885,0.18762,0.30286,0.14638,0.05807,1.91074,3.1983,2.48197,0.0264549,0.00245494,0.00245494
8,402.48,1.43621,1.85244,1.50184,0.22735,0.11235,0.09729,0.03323,2.84461,3.33702,3.01239,0.0157464,0.00274639,0.00274639
9,446.72,1.467,1.85454,1.51144,0.09368,0.13619,0.05844,0.01474,2.57824,4.86372,3.92453,0.00502169,0.00302169,0.00302169
10,487.288,1.4464,1.85427,1.51259,0.07632,0.04346,0.03636,0.02045,2.52762,4.4375,5.10929,0.00300994,0.00300994,0.00300994
11,528.064,1.44591,1.80165,1.51879,0.12767,0.07961,0.04241,0.01313,2.79911,3.82281,3.87709,0.00293653,0.00293653,0.00293653
12,562.474,1.37709,1.66577,1.44775,0.33134,0.21897,0.2168,0.09732,1.94947,2.89613,2.21383,0.00286312,0.00286312,0.00286312
13,602.307,1.34596,1.69888,1.45489,0.19672,0.28959,0.15056,0.05852,2.32729,3.27294,2.55116,0.00278971,0.00278971,0.00278971
14,641.824,1.30076,1.62624,1.43485,0.10152,0.15605,0.05373,0.01859,2.66816,5.21835,3.12753,0.00271629,0.00271629,0.00271629
15,678.951,1.27616,1.56223,1.40321,0.04831,0.14088,0.02181,0.0085,3.1033,4.69042,3.14824,0.00264288,0.00264288,0.00264288
16,716.706,1.28762,1.55807,1.40049,0.18146,0.21665,0.16648,0.07395,2.50141,3.41692,2.40086,0.00256947,0.00256947,0.00256947
17,754.4,1.16684,1.47128,1.34016,0.44033,0.25182,0.24184,0.10878,2.20382,2.68785,2.26962,0.00249606,0.00249606,0.00249606
