epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.5879,1.3548,2.63218,1.51133,0.3412,0.56308,0.37116,0.23025,1.31114,2.32762,1.44668,0.0671507,0.000331811,0.000331811
2,177.799,1.07184,1.80927,1.28829,0.58574,0.71666,0.67557,0.45816,1.16702,1.55258,1.31971,0.034144,0.000658494,0.000658494
3,495.358,0.93053,1.31899,1.18,0.77533,0.78333,0.80902,0.60752,0.93456,1.21781,1.1248,0.00113072,0.00097851,0.00097851
4,853.967,0.79792,1.05831,1.09817,0.92447,0.85729,0.91553,0.70871,0.81828,0.93892,1.0322,0.000970003,0.000970003,0.000970003
5,1151.47,0.72041,0.93487,1.05476,0.92673,0.87084,0.9324,0.75999,0.71154,0.84402,0.98126,0.000960004,0.000960004,0.000960004
6,1232.25,0.6742,0.85347,1.03246,0.94666,0.91472,0.95053,0.79678,0.63219,0.75199,0.95795,0.000950005,0.000950005,0.000950005
7,1310.87,0.64501,0.80175,1.01742,0.94263,0.93959,0.96234,0.80306,0.6348,0.68479,0.93684,0.000940006,0.000940006,0.000940006
8,1391.82,0.62113,0.74918,1.00568,0.97662,0.93681,0.974,0.79571,0.67406,0.67278,0.95046,0.000930007,0.000930007,0.000930007
9,1470.61,0.60545,0.72817,0.99818,0.96886,0.93733,0.9736,0.82036,0.59201,0.63383,0.92329,0.000920008,0.000920008,0.000920008
10,1550.73,0.59602,0.70628,0.99597,0.95839,0.95616,0.98215,0.84067,0.53749,0.60173,0.90034,0.000910009,0.000910009,0.000910009
11,1631.44,0.56513,0.65877,0.98034,0.9778,0.94741,0.97741,0.84299,0.53251,0.57646,0.90071,0.00090001,0.00090001,0.00090001
12,1712.54,0.54874,0.64511,0.97376,0.98158,0.94779,0.98068,0.85557,0.5043,0.55265,0.88443,0.000890011,0.000890011,0.000890011
13,1794.5,0.5501,0.63831,0.97446,0.96492,0.95952,0.98092,0.84947,0.52229,0.54992,0.88664,0.000880012,0.000880012,0.000880012
14,1877.99,0.54509,0.63171,0.97995,0.98424,0.95493,0.98587,0.84894,0.54867,0.53918,0.88551,0.000870013,0.000870013,0.000870013
15,1957.54,0.53471,0.60995,0.97316,0.97531,0.9669,0.98854,0.86819,0.48559,0.50319,0.87289,0.000860014,0.000860014,0.000860014
16,2039.87,0.51679,0.58705,0.96313,0.97215,0.96483,0.98732,0.86272,0.49207,0.49305,0.87117,0.000850015,0.000850015,0.000850015
17,2121.61,0.50763,0.5713,0.95628,0.97301,0.97993,0.98728,0.88381,0.45535,0.47876,0.86453,0.000840016,0.000840016,0.000840016
18,2202.22,0.50453,0.56378,0.95267,0.98694,0.97127,0.99069,0.86224,0.49423,0.47473,0.86271,0.000830017,0.000830017,0.000830017
19,2281.96,0.49697,0.54838,0.95254,0.98785,0.95774,0.99141,0.87379,0.46141,0.46553,0.86243,0.000820018,0.000820018,0.000820018
20,2365.51,0.49456,0.54627,0.9502,0.97886,0.9675,0.99104,0.88005,0.45644,0.45354,0.86047,0.000810019,0.000810019,0.000810019
21,2449.61,0.49168,0.54538,0.95448,0.98634,0.9725,0.99131,0.89312,0.42616,0.43903,0.85363,0.00080002,0.00080002,0.00080002
22,2529.59,0.47893,0.52253,0.94369,0.99245,0.97387,0.99301,0.89424,0.42378,0.44549,0.85243,0.000790021,0.000790021,0.000790021
23,2607.82,0.47413,0.51573,0.94256,0.98546,0.97164,0.99244,0.88881,0.42827,0.43479,0.85302,0.000780022,0.000780022,0.000780022
24,2686.15,0.46996,0.51506,0.94069,0.99323,0.96864,0.99236,0.89679,0.42104,0.42584,0.84855,0.000770023,0.000770023,0.000770023
25,2763.4,0.46399,0.50709,0.93809,0.9856,0.96781,0.99107,0.8993,0.40237,0.41816,0.84764,0.000760024,0.000760024,0.000760024
26,2842.39,0.45284,0.49429,0.9343,0.98854,0.97152,0.99062,0.90879,0.36936,0.40589,0.8372,0.000750025,0.000750025,0.000750025
27,2922.45,0.45647,0.48768,0.93805,0.98936,0.97836,0.99323,0.8883,0.41396,0.40154,0.84132,0.000740026,0.000740026,0.000740026
28,3001.38,0.45853,0.49516,0.93724,0.99213,0.97843,0.99303,0.90667,0.37917,0.39626,0.83741,0.000730027,0.000730027,0.000730027
29,3080.06,0.449,0.48275,0.93418,0.9922,0.97334,0.99382,0.90051,0.39812,0.39741,0.84407,0.000720028,0.000720028,0.000720028
30,3158.36,0.4433,0.47577,0.93081,0.98598,0.98367,0.99368,0.90822,0.37872,0.38751,0.83178,0.000710029,0.000710029,0.000710029
31,3235.83,0.4461,0.47307,0.9353,0.98314,0.98098,0.99346,0.90635,0.39896,0.38511,0.83808,0.00070003,0.00070003,0.00070003
32,3312.66,0.44672,0.4782,0.93692,0.9953,0.97378,0.99323,0.9105,0.39188,0.38475,0.83722,0.000690031,0.000690031,0.000690031
33,3392.77,0.43427,0.46104,0.92884,0.99014,0.97029,0.99299,0.90384,0.39436,0.37654,0.8398,0.000680032,0.000680032,0.000680032
34,3469.71,0.4387,0.46613,0.9321,0.99531,0.97157,0.9937,0.90889,0.37917,0.37021,0.83236,0.000670033,0.000670033,0.000670033
35,3548.57,0.42548,0.44839,0.92318,0.99682,0.97455,0.99383,0.90888,0.38201,0.36723,0.83221,0.000660034,0.000660034,0.000660034
36,3627.12,0.42982,0.45629,0.92654,0.99009,0.97731,0.99313,0.90618,0.38506,0.36789,0.83136,0.000650035,0.000650035,0.000650035
37,3707.24,0.42676,0.45255,0.9274,0.98929,0.97849,0.99319,0.91621,0.36835,0.35572,0.82909,0.000640036,0.000640036,0.000640036
38,3785.19,0.41683,0.43535,0.92198,0.98563,0.97839,0.99318,0.91409,0.35424,0.35238,0.82949,0.000630037,0.000630037,0.000630037
39,3861.51,0.41848,0.44058,0.92145,0.99331,0.96968,0.99299,0.91783,0.34303,0.35655,0.82567,0.000620038,0.000620038,0.000620038
40,3938.19,0.42032,0.44396,0.92564,0.98746,0.97819,0.99362,0.91986,0.35407,0.34786,0.8255,0.000610039,0.000610039,0.000610039
41,4014.74,0.41102,0.43996,0.92077,0.97767,0.98417,0.99285,0.9164,0.34877,0.34927,0.82478,0.00060004,0.00060004,0.00060004
42,4091.09,0.40154,0.42485,0.91604,0.98362,0.98428,0.99315,0.91013,0.3612,0.3455,0.82483,0.000590041,0.000590041,0.000590041
43,4167.54,0.40885,0.4242,0.92028,0.98795,0.97699,0.99308,0.918,0.34539,0.33849,0.82184,0.000580042,0.000580042,0.000580042
44,4243.6,0.40956,0.42873,0.92098,0.99191,0.97894,0.99381,0.9176,0.3562,0.33997,0.82214,0.000570043,0.000570043,0.000570043
45,4319.03,0.40078,0.41834,0.91693,0.99346,0.9756,0.99378,0.91998,0.34982,0.33468,0.82546,0.000560044,0.000560044,0.000560044
46,4395.36,0.3976,0.41672,0.91621,0.98842,0.97767,0.99402,0.92772,0.3247,0.32504,0.82175,0.000550045,0.000550045,0.000550045
47,4470.86,0.39528,0.41176,0.9157,0.99023,0.97555,0.9942,0.92845,0.31307,0.32265,0.8192,0.000540046,0.000540046,0.000540046
48,4546.48,0.3985,0.41839,0.91506,0.98878,0.98367,0.9942,0.92292,0.34235,0.33334,0.8254,0.000530047,0.000530047,0.000530047
49,4621.74,0.38623,0.40327,0.91203,0.99393,0.98039,0.99443,0.923,0.32612,0.31991,0.82099,0.000520048,0.000520048,0.000520048
50,4704.46,0.38463,0.40331,0.91086,0.99913,0.98502,0.99451,0.92586,0.33343,0.3233,0.82068,0.000510049,0.000510049,0.000510049
51,4785.89,0.39053,0.40308,0.91444,0.98426,0.9907,0.99439,0.92394,0.3355,0.31892,0.81994,0.00050005,0.00050005,0.00050005
52,4864.82,0.38831,0.40361,0.91453,0.9959,0.97933,0.99437,0.92736,0.31592,0.32221,0.81905,0.000490051,0.000490051,0.000490051
53,4942.12,0.38167,0.39502,0.90866,0.99624,0.97747,0.99406,0.92816,0.31797,0.31416,0.8178,0.000480052,0.000480052,0.000480052
54,5022.37,0.38389,0.39439,0.90917,0.99074,0.97757,0.99378,0.9326,0.30408,0.31495,0.81508,0.000470053,0.000470053,0.000470053
55,5099.26,0.37858,0.39577,0.90767,0.98709,0.97886,0.99403,0.92835,0.32713,0.30968,0.81825,0.000460054,0.000460054,0.000460054
56,5176.82,0.3827,0.39322,0.91122,0.99464,0.97907,0.99357,0.92136,0.35046,0.31951,0.81998,0.000450055,0.000450055,0.000450055
57,5253.67,0.37621,0.38894,0.90837,0.99409,0.97536,0.99424,0.93743,0.30277,0.31049,0.8165,0.000440056,0.000440056,0.000440056
58,5330.34,0.37903,0.39302,0.91004,0.99713,0.97595,0.9937,0.93526,0.29884,0.30305,0.81395,0.000430057,0.000430057,0.000430057
59,5413.74,0.38205,0.39171,0.91284,0.99271,0.9856,0.9944,0.93707,0.28612,0.2985,0.81418,0.000420058,0.000420058,0.000420058
60,5493.81,0.37602,0.39021,0.91006,0.99279,0.98189,0.99386,0.93529,0.29249,0.30007,0.81434,0.000410059,0.000410059,0.000410059
61,5574.09,0.37346,0.38396,0.908,0.99441,0.97908,0.99431,0.93237,0.29953,0.30033,0.81183,0.00040006,0.00040006,0.00040006
62,5653.45,0.37415,0.38553,0.90968,0.98945,0.98183,0.99383,0.9341,0.30729,0.30117,0.815,0.000390061,0.000390061,0.000390061
63,5733.4,0.36421,0.37643,0.90475,0.9967,0.9799,0.99412,0.93557,0.29471,0.29721,0.81318,0.000380062,0.000380062,0.000380062
64,5815.19,0.37097,0.38177,0.90942,0.99177,0.98462,0.99403,0.93358,0.30192,0.29825,0.81509,0.000370063,0.000370063,0.000370063
65,5899.25,0.36029,0.36858,0.90281,0.98421,0.99083,0.99445,0.94274,0.27969,0.28944,0.81156,0.000360064,0.000360064,0.000360064
66,5981.66,0.37018,0.37934,0.90855,0.99498,0.97806,0.99451,0.93864,0.29215,0.29428,0.81187,0.000350065,0.000350065,0.000350065
67,6063.48,0.35632,0.36866,0.90485,0.99855,0.9716,0.99391,0.93796,0.29025,0.30024,0.81143,0.000340066,0.000340066,0.000340066
68,6144.43,0.36421,0.37423,0.90863,0.99806,0.97151,0.9942,0.93515,0.30388,0.30161,0.81375,0.000330067,0.000330067,0.000330067
69,6226.55,0.3638,0.37656,0.90716,0.99476,0.98156,0.99428,0.9375,0.30387,0.29405,0.81415,0.000320068,0.000320068,0.000320068
70,6306.16,0.35805,0.36923,0.9031,0.99231,0.98592,0.99452,0.94066,0.2886,0.28752,0.81226,0.000310069,0.000310069,0.000310069
71,6385.82,0.35777,0.36523,0.90055,0.99253,0.99035,0.99462,0.93901,0.29261,0.28595,0.81141,0.00030007,0.00030007,0.00030007
72,6466.95,0.34735,0.36035,0.89923,0.99105,0.99288,0.99477,0.94246,0.28434,0.28239,0.80941,0.000290071,0.000290071,0.000290071
73,6549.08,0.36013,0.36827,0.90683,0.99255,0.98726,0.99486,0.94404,0.28864,0.28021,0.81173,0.000280072,0.000280072,0.000280072
74,6631.5,0.35419,0.36542,0.9033,0.99549,0.98276,0.99477,0.94262,0.28307,0.28199,0.8101,0.000270073,0.000270073,0.000270073
75,6708.94,0.35606,0.36405,0.90317,0.99763,0.98455,0.9948,0.94049,0.29341,0.27912,0.81108,0.000260074,0.000260074,0.000260074
76,6787.08,0.35224,0.36155,0.89891,0.99462,0.98172,0.9946,0.9429,0.28145,0.27836,0.81034,0.000250075,0.000250075,0.000250075
77,6865.92,0.34407,0.35544,0.89916,0.9915,0.98364,0.99439,0.94246,0.28398,0.27876,0.80982,0.000240076,0.000240076,0.000240076
78,6943.67,0.34765,0.35642,0.89807,0.99206,0.98935,0.99462,0.94112,0.28331,0.27789,0.81083,0.000230077,0.000230077,0.000230077
79,7022.13,0.34292,0.35326,0.90191,0.98666,0.99279,0.99466,0.94416,0.27288,0.27495,0.80888,0.000220078,0.000220078,0.000220078
80,7100.16,0.35113,0.36307,0.90151,0.99254,0.99019,0.99467,0.94099,0.29076,0.27629,0.80967,0.000210079,0.000210079,0.000210079
81,7177.8,0.34853,0.35874,0.90296,0.99382,0.98208,0.9945,0.94404,0.27716,0.27721,0.80776,0.00020008,0.00020008,0.00020008
82,7254.22,0.34988,0.35676,0.90231,0.98601,0.99152,0.99463,0.94185,0.287,0.27524,0.80971,0.000190081,0.000190081,0.000190081
83,7330.6,0.34391,0.35428,0.89967,0.99231,0.99081,0.99464,0.94456,0.27478,0.27184,0.80751,0.000180082,0.000180082,0.000180082
84,7407.31,0.34394,0.35092,0.89816,0.98908,0.98883,0.99466,0.94618,0.26605,0.2755,0.80776,0.000170083,0.000170083,0.000170083
85,7484.16,0.34198,0.35249,0.89939,0.9943,0.98557,0.99469,0.94645,0.26771,0.27131,0.80829,0.000160084,0.000160084,0.000160084
86,7560.87,0.33709,0.34771,0.89533,0.98922,0.9927,0.99468,0.94541,0.27459,0.27505,0.80816,0.000150085,0.000150085,0.000150085
87,7637.17,0.3368,0.34608,0.89799,0.98886,0.99182,0.9948,0.94583,0.27321,0.26984,0.80775,0.000140086,0.000140086,0.000140086
88,7713.18,0.34345,0.35432,0.90056,0.99461,0.98431,0.99465,0.94616,0.27144,0.27027,0.80698,0.000130087,0.000130087,0.000130087
89,7789.13,0.33399,0.34228,0.89684,0.99554,0.98199,0.99472,0.94309,0.27429,0.26979,0.80836,0.000120088,0.000120088,0.000120088
90,7864.85,0.32551,0.33591,0.89121,0.99792,0.98282,0.99474,0.94398,0.27548,0.27044,0.80843,0.000110089,0.000110089,0.000110089
91,7941.9,0.26095,0.33044,0.83895,0.99357,0.97393,0.99379,0.93279,0.30088,0.29765,0.81246,0.00010009,0.00010009,0.00010009
92,8017.31,0.23608,0.29733,0.8307,0.97937,0.9883,0.99429,0.9343,0.29866,0.29538,0.81124,9.0091e-05,9.0091e-05,9.0091e-05
93,8092.11,0.22801,0.2863,0.83087,0.99669,0.9765,0.99449,0.93711,0.28819,0.29315,0.8083,8.0092e-05,8.0092e-05,8.0092e-05
