                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                 0.0001,                 0.0303,                 0.0002,                  4e-05,                    nan,                    nan,                    nan,               0.067033,               0.000333,               0.000333
                      2,                    nan,                    nan,                    nan,                 0.0001,                 0.0303,                0.00041,                  8e-05,                    nan,                    nan,                    nan,                 0.0337,              0.0003332,              0.0003332
