epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.651,1.61621,2.90624,1.68711,0.00526,0.58127,0.09926,0.03491,2.3775,3.79974,2.6803,0.0903038,0.000303774,0.000303774
2,95.5818,1.43049,2.35538,1.53679,0.65177,0.06254,0.0509,0.01547,2.70055,3.93773,3.58219,0.0796252,0.000625168,0.000625168
3,138.852,1.46716,2.15898,1.55233,0.17934,0.21206,0.07523,0.02282,2.59045,3.73751,3.62199,0.0689332,0.000933195,0.000933195
4,184.112,1.48749,2.06924,1.57293,0.09777,0.07048,0.06609,0.02619,2.56945,3.28184,3.00619,0.0582279,0.00122786,0.00122786
5,226.713,1.51547,2.07842,1.59817,0.04758,0.14964,0.02984,0.00984,2.57345,7.16299,3.22646,0.0475092,0.00150915,0.00150915
6,267.034,1.42651,1.97523,1.54084,0.19418,0.34861,0.12514,0.03731,2.29389,3.52381,2.61871,0.0367771,0.00177708,0.00177708
7,310.051,1.45752,1.9087,1.54893,0.1006,0.36744,0.09484,0.03459,2.47045,4.62601,2.7502,0.0260316,0.00203165,0.00203165
8,354.202,1.38756,1.86795,1.5046,0.09045,0.19474,0.08301,0.02735,2.97856,4.50065,3.95438,0.0152728,0.00227285,0.00227285
9,395.052,1.417,1.78047,1.50252,0.03266,0.10074,0.01908,0.00543,2.96726,4.13796,3.71497,0.00450068,0.00250068,0.00250068
10,436.745,1.41524,1.7293,1.5035,0.16642,0.19704,0.09962,0.0411,2.86332,3.39792,3.23021,0.00249096,0.00249096,0.00249096
11,475.896,1.42984,1.74103,1.48589,0.38148,0.34136,0.26596,0.10499,2.2697,3.25059,2.56899,0.0024302,0.0024302,0.0024302
12,514.916,1.37467,1.67291,1.47401,0.25031,0.33385,0.22528,0.09076,2.12704,2.63015,2.31175,0.00236945,0.00236945,0.00236945
13,581.539,1.35422,1.61804,1.46055,0.1749,0.15743,0.11581,0.04564,2.37316,3.04065,2.48461,0.0023087,0.0023087,0.0023087
14,619.921,1.27379,1.53072,1.42004,0.30116,0.35228,0.29037,0.15449,1.87924,2.48864,1.8969,0.00224794,0.00224794,0.00224794
15,659.348,1.27644,1.46256,1.39107,0.36483,0.30078,0.28947,0.14122,2.17305,2.83693,2.17416,0.00218719,0.00218719,0.00218719
16,697.91,1.29342,1.49964,1.41731,0.49938,0.43872,0.4189,0.24403,1.92409,2.38139,2.14565,0.00212643,0.00212643,0.00212643
17,740.606,1.24869,1.48059,1.37482,0.43199,0.46288,0.39146,0.21095,1.90917,2.61402,2.00307,0.00206568,0.00206568,0.00206568
18,786.023,1.17851,1.33963,1.31748,0.31524,0.28181,0.21057,0.10916,1.99509,3.78784,2.10203,0.00200493,0.00200493,0.00200493
19,826.149,1.18437,1.3254,1.3428,0.36501,0.19097,0.16652,0.07677,2.32266,3.57659,2.53165,0.00194417,0.00194417,0.00194417
20,871.648,1.13517,1.29119,1.30729,0.49665,0.43976,0.47094,0.24785,1.76271,2.26905,1.84337,0.00188342,0.00188342,0.00188342
21,920.34,1.17086,1.33648,1.3325,0.57579,0.50875,0.51257,0.25982,1.71175,1.98448,1.69054,0.00182266,0.00182266,0.00182266
22,967.066,1.08442,1.18045,1.25633,0.5353,0.63922,0.60213,0.35537,1.48316,1.62662,1.53392,0.00176191,0.00176191,0.00176191
23,1020.58,1.09402,1.16279,1.26738,0.66048,0.64662,0.70075,0.46336,1.30937,1.47382,1.43126,0.00170116,0.00170116,0.00170116
24,1064.57,1.0759,1.15177,1.26304,0.72791,0.77319,0.77736,0.54666,1.04586,1.15865,1.18031,0.0016404,0.0016404,0.0016404
25,1109.26,1.07249,1.14806,1.26678,0.7662,0.7149,0.7994,0.55513,1.14046,1.08144,1.26717,0.00157965,0.00157965,0.00157965
26,1151.37,1.05781,1.11617,1.23606,0.65674,0.59365,0.63973,0.4173,1.12717,1.39462,1.25216,0.0015189,0.0015189,0.0015189
27,1190.49,1.01606,1.08248,1.2156,0.61132,0.50124,0.59934,0.37819,1.28679,1.76897,1.41045,0.00145814,0.00145814,0.00145814
28,1232.72,1.0169,1.0444,1.21151,0.80573,0.69789,0.7966,0.5858,1.02935,1.04811,1.13194,0.00139739,0.00139739,0.00139739
29,1268.69,0.99478,1.05484,1.19796,0.78397,0.77417,0.85542,0.61075,1.02791,0.96912,1.10458,0.00133663,0.00133663,0.00133663
30,1307.27,0.9896,1.06315,1.21677,0.855,0.76107,0.86043,0.59342,1.01593,0.94973,1.14212,0.00127588,0.00127588,0.00127588
31,1346.3,0.95842,0.97579,1.18035,0.74166,0.69529,0.75339,0.47022,1.36517,1.27147,1.36753,0.00121513,0.00121513,0.00121513
32,1384.5,0.96634,0.96075,1.18938,0.91669,0.80161,0.89856,0.66093,1.02446,0.86309,1.14419,0.00115437,0.00115437,0.00115437
33,1425.71,0.96051,0.95784,1.18085,0.91313,0.82535,0.90684,0.68875,0.93355,0.84706,1.08812,0.00109362,0.00109362,0.00109362
34,1465.21,0.94896,0.94659,1.1818,0.88226,0.83219,0.90081,0.63409,1.08579,0.79744,1.11777,0.00103286,0.00103286,0.00103286
35,1505.41,0.92538,0.92592,1.16615,0.85448,0.81859,0.86739,0.66177,0.95656,0.87387,1.06591,0.00097211,0.00097211,0.00097211
36,1543.65,0.88265,0.87849,1.12723,0.87986,0.71644,0.84817,0.64606,0.89244,1.01069,1.0706,0.000911356,0.000911356,0.000911356
37,1584.57,0.92771,0.91662,1.16876,0.94032,0.84591,0.92721,0.64793,1.04471,0.78626,1.13924,0.000850602,0.000850602,0.000850602
38,1650.47,0.90422,0.90717,1.1491,0.90037,0.81195,0.91044,0.71362,0.84113,0.74084,1.02988,0.000789848,0.000789848,0.000789848
39,1690.62,0.87083,0.87755,1.13587,0.79711,0.87395,0.90173,0.63867,1.06741,0.80613,1.12994,0.000729095,0.000729095,0.000729095
40,1736.54,0.85982,0.84862,1.12325,0.87065,0.77623,0.86708,0.63482,0.92914,0.8508,1.06729,0.000668341,0.000668341,0.000668341
41,1784.95,0.62647,0.59098,0.98196,0.93155,0.86291,0.93561,0.71101,0.9098,0.72199,1.05051,0.000607587,0.000607587,0.000607587
42,1824.63,0.63588,0.55005,0.97621,0.93501,0.9196,0.96769,0.7775,0.74771,0.58782,0.96649,0.000546833,0.000546833,0.000546833
43,1860.42,0.61761,0.51461,0.97223,0.93543,0.87955,0.9494,0.70521,0.97056,0.70851,1.05596,0.000486079,0.000486079,0.000486079
44,1899.21,0.60833,0.50337,0.95345,0.93696,0.90998,0.969,0.77816,0.72611,0.58728,0.9618,0.000425325,0.000425325,0.000425325
45,1939.16,0.61044,0.49461,0.95299,0.95707,0.91411,0.96814,0.76197,0.76532,0.55388,0.97229,0.000364571,0.000364571,0.000364571
46,1975.86,0.56786,0.46775,0.92836,0.96119,0.93464,0.97556,0.78861,0.73024,0.5482,0.94834,0.000303817,0.000303817,0.000303817
47,2011.93,0.55616,0.44873,0.91625,0.95389,0.94152,0.97214,0.76755,0.80824,0.55325,0.97498,0.000243063,0.000243063,0.000243063
48,2053.75,0.57172,0.46487,0.94139,0.95654,0.94005,0.97554,0.74595,0.90411,0.54731,1.00261,0.000182309,0.000182309,0.000182309
49,2091.66,0.55648,0.44432,0.94452,0.95977,0.94569,0.97689,0.7641,0.82937,0.50962,0.9682,0.000121555,0.000121555,0.000121555
50,2132.95,0.53023,0.4342,0.92257,0.94481,0.96004,0.97877,0.7743,0.80736,0.49673,0.9581,6.08015e-05,6.08015e-05,6.08015e-05
