epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.87326,2.09439,3.30706,2.05134,0.00741,0.71102,0.03952,0.01232,2.01409,3.00452,1.97281,0.0674607,3.64184e-05,3.64184e-05
2,10.6495,1.9751,3.24744,1.98582,0.0079,0.75112,0.02669,0.00952,2.15161,3.02982,2.02534,0.0341641,7.31924e-05,7.31924e-05
3,14.3679,1.92572,3.22042,1.94671,0.00689,0.75092,0.03928,0.01222,2.0723,2.99198,2.01748,0.000867045,0.00010947,0.00010947
4,18.0531,1.85336,3.19098,1.88307,0.00683,0.75157,0.04164,0.01353,2.06724,2.98921,2.02003,0.00010956,0.00010956,0.00010956
5,21.7458,1.79031,3.15506,1.84769,0.00713,0.78298,0.04642,0.01586,1.99858,2.98342,1.97045,0.000108815,0.000108815,0.000108815
6,25.4417,1.76345,3.13414,1.82061,0.00691,0.76093,0.04657,0.01524,1.99537,2.97552,1.96548,0.000108069,0.000108069,0.000108069
7,29.1301,1.73712,3.11637,1.81533,0.00711,0.78057,0.0529,0.01967,1.92807,2.94127,1.90405,0.000107324,0.000107324,0.000107324
8,32.8445,1.7382,3.10679,1.81976,0.00732,0.80173,0.05864,0.02196,1.84291,2.92258,1.84131,0.000106579,0.000106579,0.000106579
9,36.6971,1.65676,3.08897,1.75727,0.00728,0.79826,0.06458,0.02523,1.78769,2.90229,1.81215,0.000105834,0.000105834,0.000105834
10,40.4534,1.65998,3.07033,1.77178,0.00723,0.79311,0.06947,0.02653,1.74639,2.88366,1.77542,0.000105088,0.000105088,0.000105088
11,44.2,1.61532,3.05596,1.71568,0.00727,0.79663,0.08859,0.0344,1.71691,2.86392,1.76095,0.000104343,0.000104343,0.000104343
12,47.9397,1.6213,3.0388,1.74004,0.00735,0.80466,0.08972,0.03346,1.76665,2.85327,1.76685,0.000103598,0.000103598,0.000103598
13,51.6828,1.60293,3.03412,1.71794,0.00739,0.8097,0.09821,0.03606,1.72653,2.83906,1.74978,0.000102852,0.000102852,0.000102852
14,55.4431,1.55318,3.01933,1.68645,0.00737,0.80754,0.10295,0.04031,1.64286,2.82253,1.74046,0.000102107,0.000102107,0.000102107
15,59.1987,1.55523,3.01257,1.68044,0.06856,0.63967,0.10866,0.04513,1.58817,2.79229,1.67787,0.000101362,0.000101362,0.000101362
16,63.2569,1.52642,2.99824,1.65658,0.07385,0.5833,0.11284,0.04814,1.60695,2.7895,1.68663,0.000100617,0.000100617,0.000100617
17,67.022,1.54288,2.973,1.67921,0.10549,0.35734,0.12535,0.05342,1.64868,2.76427,1.69484,9.98713e-05,9.98713e-05,9.98713e-05
18,70.7894,1.51975,2.96059,1.6581,0.14152,0.28607,0.13201,0.05699,1.62263,2.74659,1.67819,9.9126e-05,9.9126e-05,9.9126e-05
19,74.5549,1.50624,2.93736,1.65198,0.13292,0.3712,0.12885,0.05703,1.53488,2.72781,1.63896,9.83808e-05,9.83808e-05,9.83808e-05
20,78.3403,1.52734,2.93446,1.65886,0.13411,0.05877,0.13342,0.05765,1.50169,2.72163,1.61509,9.76355e-05,9.76355e-05,9.76355e-05
21,82.1643,1.48803,2.91909,1.63002,0.19017,0.07452,0.14717,0.06769,1.50723,2.69103,1.61184,9.68902e-05,9.68902e-05,9.68902e-05
22,85.9396,1.46233,2.89876,1.61149,0.20439,0.08904,0.15331,0.07103,1.51331,2.67218,1.62331,9.61449e-05,9.61449e-05,9.61449e-05
23,89.7039,1.4818,2.88305,1.63541,0.16427,0.10447,0.15343,0.07213,1.48518,2.6487,1.59148,9.53996e-05,9.53996e-05,9.53996e-05
24,93.4532,1.47347,2.878,1.62303,0.16432,0.14384,0.16238,0.07641,1.49938,2.62852,1.59789,9.46543e-05,9.46543e-05,9.46543e-05
25,97.2004,1.49,2.88759,1.62056,0.16683,0.15164,0.16698,0.07881,1.48342,2.61727,1.58332,9.3909e-05,9.3909e-05,9.3909e-05
26,100.964,1.46522,2.86645,1.60838,0.22175,0.1949,0.17322,0.08282,1.46496,2.59534,1.57904,9.31638e-05,9.31638e-05,9.31638e-05
27,104.712,1.46199,2.84128,1.60721,0.20716,0.20791,0.16728,0.07985,1.50661,2.60308,1.60323,9.24185e-05,9.24185e-05,9.24185e-05
28,108.456,1.43756,2.7973,1.58903,0.21869,0.19061,0.16076,0.07218,1.54545,2.63701,1.63398,9.16732e-05,9.16732e-05,9.16732e-05
29,112.205,1.45088,2.80657,1.59923,0.22086,0.25699,0.18485,0.08954,1.5259,2.56593,1.60618,9.09279e-05,9.09279e-05,9.09279e-05
30,115.956,1.44581,2.79839,1.59436,0.18114,0.27509,0.19255,0.09225,1.47571,2.52539,1.56759,9.01826e-05,9.01826e-05,9.01826e-05
31,119.703,1.43556,2.78176,1.57475,0.18314,0.30691,0.1956,0.09526,1.47272,2.51045,1.56515,8.94373e-05,8.94373e-05,8.94373e-05
32,123.457,1.47214,2.76832,1.61733,0.21001,0.31179,0.20423,0.09933,1.4709,2.48017,1.5557,8.8692e-05,8.8692e-05,8.8692e-05
33,127.197,1.42379,2.73911,1.57201,0.20686,0.34116,0.20127,0.09749,1.43811,2.48439,1.53848,8.79468e-05,8.79468e-05,8.79468e-05
34,130.931,1.42716,2.74109,1.57483,0.21382,0.34811,0.20566,0.09703,1.45315,2.4671,1.53695,8.72015e-05,8.72015e-05,8.72015e-05
35,134.664,1.46295,2.74055,1.6047,0.25763,0.33639,0.21339,0.10308,1.47512,2.44326,1.56254,8.64562e-05,8.64562e-05,8.64562e-05
36,138.407,1.4381,2.7058,1.57198,0.24493,0.3433,0.21721,0.10666,1.44787,2.42817,1.52961,8.57109e-05,8.57109e-05,8.57109e-05
37,142.156,1.4632,2.71104,1.58491,0.21107,0.32064,0.21796,0.10594,1.44545,2.42761,1.52802,8.49656e-05,8.49656e-05,8.49656e-05
38,145.902,1.41987,2.6859,1.56436,0.29312,0.34352,0.21454,0.10546,1.47068,2.43001,1.55628,8.42203e-05,8.42203e-05,8.42203e-05
39,149.646,1.43999,2.66659,1.57508,0.20342,0.3487,0.22133,0.10904,1.43551,2.41499,1.52388,8.3475e-05,8.3475e-05,8.3475e-05
40,153.383,1.43449,2.66006,1.57716,0.21045,0.31929,0.22324,0.10867,1.4173,2.40686,1.52115,8.27298e-05,8.27298e-05,8.27298e-05
41,157.136,1.42531,2.65871,1.5674,0.24245,0.30679,0.23968,0.122,1.42017,2.37058,1.50788,8.19845e-05,8.19845e-05,8.19845e-05
42,160.882,1.4291,2.64233,1.55641,0.22642,0.32634,0.23664,0.11801,1.43373,2.36338,1.51214,8.12392e-05,8.12392e-05,8.12392e-05
43,164.622,1.42725,2.63756,1.56182,0.42171,0.35902,0.24233,0.12134,1.47435,2.36552,1.54272,8.04939e-05,8.04939e-05,8.04939e-05
44,168.376,1.44636,2.65672,1.57591,0.58004,0.32919,0.24345,0.12556,1.46707,2.34247,1.53055,7.97486e-05,7.97486e-05,7.97486e-05
45,172.122,1.41667,2.62283,1.5468,0.58194,0.33657,0.25588,0.13053,1.42569,2.32845,1.51146,7.90033e-05,7.90033e-05,7.90033e-05
46,175.858,1.38537,2.60009,1.51866,0.22459,0.36091,0.25387,0.12518,1.44189,2.32013,1.50705,7.8258e-05,7.8258e-05,7.8258e-05
47,179.6,1.42047,2.59655,1.54993,0.59054,0.33007,0.25681,0.12996,1.42789,2.3191,1.50903,7.75128e-05,7.75128e-05,7.75128e-05
48,183.506,1.42338,2.60397,1.55072,0.57972,0.36067,0.26196,0.13116,1.40916,2.3059,1.48477,7.67675e-05,7.67675e-05,7.67675e-05
49,187.251,1.3953,2.56033,1.53812,0.58941,0.3506,0.26832,0.13412,1.4375,2.29468,1.5058,7.60222e-05,7.60222e-05,7.60222e-05
50,190.998,1.3988,2.56417,1.54348,0.59569,0.34483,0.27309,0.13797,1.44587,2.28689,1.51319,7.52769e-05,7.52769e-05,7.52769e-05
51,194.758,1.43259,2.5717,1.56307,0.60675,0.34206,0.28127,0.14433,1.4029,2.27964,1.48281,7.45316e-05,7.45316e-05,7.45316e-05
52,198.501,1.40971,2.54883,1.54516,0.35971,0.36465,0.27555,0.13709,1.44945,2.27464,1.50728,7.37863e-05,7.37863e-05,7.37863e-05
53,202.236,1.4213,2.53733,1.55575,0.59429,0.3516,0.29172,0.14881,1.42807,2.24839,1.49331,7.3041e-05,7.3041e-05,7.3041e-05
54,205.978,1.4088,2.54212,1.5337,0.61322,0.35839,0.2901,0.14844,1.4363,2.25599,1.49365,7.22958e-05,7.22958e-05,7.22958e-05
55,209.718,1.39188,2.52498,1.51701,0.60436,0.36461,0.29306,0.14885,1.39504,2.24635,1.46962,7.15505e-05,7.15505e-05,7.15505e-05
56,213.459,1.39526,2.48527,1.53405,0.57996,0.3933,0.29544,0.15364,1.44376,2.24787,1.50309,7.08052e-05,7.08052e-05,7.08052e-05
57,217.206,1.40911,2.49979,1.54021,0.59989,0.37061,0.3033,0.1545,1.40994,2.23662,1.47227,7.00599e-05,7.00599e-05,7.00599e-05
58,220.939,1.41012,2.51359,1.55272,0.61144,0.37412,0.31077,0.16332,1.41238,2.21486,1.47865,6.93146e-05,6.93146e-05,6.93146e-05
59,224.669,1.38055,2.47246,1.50971,0.63367,0.36055,0.31339,0.16551,1.41786,2.20525,1.47674,6.85693e-05,6.85693e-05,6.85693e-05
60,228.407,1.40877,2.48515,1.54934,0.61306,0.35104,0.31738,0.16168,1.40536,2.20579,1.46609,6.7824e-05,6.7824e-05,6.7824e-05
61,232.15,1.42847,2.48119,1.56827,0.61939,0.37183,0.31639,0.16432,1.40273,2.19542,1.45863,6.70788e-05,6.70788e-05,6.70788e-05
62,235.889,1.42436,2.48162,1.55212,0.60946,0.38726,0.32234,0.16551,1.4098,2.18733,1.46973,6.63335e-05,6.63335e-05,6.63335e-05
63,239.634,1.36262,2.45964,1.51298,0.61358,0.3629,0.32295,0.16555,1.40889,2.18533,1.46527,6.55882e-05,6.55882e-05,6.55882e-05
64,243.383,1.37981,2.45721,1.5331,0.62699,0.34271,0.33039,0.1657,1.40839,2.18888,1.46685,6.48429e-05,6.48429e-05,6.48429e-05
65,247.124,1.35842,2.42872,1.50467,0.61612,0.3852,0.32772,0.16933,1.40278,2.17115,1.46005,6.40976e-05,6.40976e-05,6.40976e-05
66,250.886,1.38803,2.45879,1.52799,0.62032,0.38799,0.32284,0.17112,1.39481,2.17461,1.45564,6.33523e-05,6.33523e-05,6.33523e-05
67,254.626,1.36549,2.43973,1.50232,0.61477,0.4107,0.33756,0.1769,1.39214,2.16229,1.45234,6.2607e-05,6.2607e-05,6.2607e-05
